Node,Level,Queue Size,Distance,Elapsed Time
Rudolf Nureyev,0,0,0,0.0
AIDS,1,244,1,4.448
Adolphe Adam,1,244,2,4.763
Afternoon of a Faun (Nijinsky),1,757,3,13.676
Alexander Ivanovich Pushkin,1,1212,4,21.058
Alkeyevsky District,1,1212,5,21.192
American Ballet Theatre,1,1342,6,23.343
André Malraux,1,1648,7,29.402
Andy Warhol,1,2034,8,37.483
Anna Kisselgoff,1,2681,9,50.43
Annette Page,1,2851,10,53.781
Antoinette Sibley,1,2857,11,54.157
Apollo (ballet),1,2880,12,55.263
"Asanovo, Republic of Bashkortostan",1,3164,13,61.454
August Bournonville,1,3254,14,63.258
Australian Ballet,1,3370,15,65.778
Austria,1,3369,16,65.912
"Baby, It's Cold Outside",1,4286,17,83.993
Barry Kay,1,5328,18,104.306
Bashkir language,1,5361,19,105.276
Bashkortostan,1,5670,20,111.289
Bavarian State Ballet,1,6047,21,119.474
Bavarian State Opera,1,6046,22,119.61
Bell Telephone Hour,1,6298,23,124.827
Bolshoi Theatre,1,6298,24,125.005
Brooklyn Academy of Music,1,6379,25,127.144
Carla Fracci,1,6833,26,136.016
Centre National du Costume de Scene,1,6869,27,137.747
Chicago Ballet,1,6869,28,137.92
Christopher Gable,1,7040,29,144.651
Cinderella (Prokofiev),1,7090,30,146.249
Cold War,1,7370,31,152.089
Colum McCann,1,9497,32,193.421
Commandeur,1,9720,33,198.57
Coppélia,1,9720,34,198.764
Curtain call,1,9938,35,204.209
Cynthia Gregory,1,9963,36,204.915
Dacha,1,9987,37,205.988
Dame Margot Fonteyn,1,10081,38,208.509
Dancer (novel),1,10080,39,208.689
Danish people,1,10084,40,209.062
David Winters (choreographer),1,10084,41,209.244
Deauville,1,10237,42,212.691
Don Quixote (ballet),1,10953,43,226.124
Dutch National Ballet,1,11056,44,231.779
Eastern Bloc emigration and defection,1,11115,45,235.704
Eastern Slavic naming customs,1,11114,46,235.879
Encyclopædia Britannica,1,11515,47,243.849
Erik Bruhn,1,11768,48,249.714
Eva Evdokimova,1,11795,49,251.581
Exposed (1983 film),1,11803,50,252.419
Faber and Faber,1,11835,51,253.383
Flower Festival in Genzano,1,11936,52,255.871
Fred Astaire,1,11946,53,256.67
Freddie Mercury,1,12851,54,282.174
Frederick Ashton,1,13344,55,293.241
Gay bar,1,13450,56,296.872
Gayane (ballet),1,13993,57,307.521
Gelsey Kirkland,1,14041,58,309.237
Gene Kelly,1,14062,59,310.629
George Balanchine,1,14392,60,326.024
Giselle,1,14479,61,330.886
Glen Tetley,1,14552,62,334.791
Gore Vidal,1,14562,63,335.599
Grand Ballet du Marquis de Cuevas,1,14919,64,343.473
Grand Théâtre de Bordeaux,1,14919,65,343.627
HIV,1,14938,66,344.48
HIV-positive people,1,15567,67,355.688
Haight-Ashbury,1,15580,68,359.228
Hamlet (Tchaikovsky),1,15885,69,365.078
Hans van Manen,1,16126,70,369.562
Hodder & Stoughton,1,16145,71,370.5
IMDb (identifier),1,16354,72,374.591
ISBN (identifier),1,16353,73,374.904
ISSN (identifier),1,16353,74,375.212
Ilsur Metshin,1,16353,75,375.499
Individualism,1,16369,76,375.969
Internet Broadway Database,1,17688,77,400.388
Irkutsk,1,17697,78,400.896
Isabelle Guérin,1,17992,79,407.632
Jack Lang (French politician),1,18002,80,408.393
Jackie Kennedy Onassis,1,18144,81,412.575
Jessye Norman,1,18144,82,412.731
Jim Henson,1,18686,83,426.791
John Rockwell,1,19477,84,443.618
John Tooley,1,19500,85,444.641
KGB,1,19512,86,445.266
Karen Kain,1,19838,87,462.778
Kazan,1,19881,88,464.192
Kazan Governorate,1,20323,89,477.195
Kelim,1,20546,90,482.016
Ken Russell,1,20546,91,482.167
Kenneth MacMillan,1,20813,92,489.478
Kirill Serebrennikov,1,21077,93,496.946
Kirov Ballet,1,21159,94,499.1
Konstantin Sergeyev,1,21158,95,499.257
Kremlin,1,21165,96,500.052
La Bayadere,1,21406,97,505.199
La Bayadère,1,21408,98,505.36
La Danse (film),1,21462,99,508.55
La Esmeralda (ballet),1,21497,100,509.477
La Scala Theatre Ballet,1,21553,101,512.036
La Sylphide,1,21568,102,515.146
Laurencia (ballet),1,21601,103,517.811
Laurent Hilaire,1,21606,104,518.116
Le Bourget Airport,1,21607,105,518.739
Le Corsaire,1,21607,106,518.904
Le Monde,1,21649,107,522.198
Le Spectre de la Rose,1,21778,108,525.308
Le Spectre de la rose,1,21777,109,525.464
Le jeune homme et la mort,1,21794,110,526.244
Lee Radziwill,1,21847,111,527.724
Legacy Walk,1,21939,112,530.041
Legion of Honour,1,22005,113,531.643
Leningrad,1,22338,114,538.15
Les Sylphides,1,22337,115,538.468
Les Échos (France),1,22369,116,540.057
Leslie Caron,1,22369,117,540.209
Levallois-Perret,1,22602,118,546.629
Library of Congress,1,22821,119,551.085
List of Eastern Bloc defectors,1,23658,120,567.712
List of Russian ballet dancers,1,23658,121,567.869
List of dancers,1,23870,122,574.232
Liszt,1,24122,123,582.814
Liza Minnelli,1,24121,124,582.978
London Festival Ballet,1,24583,125,598.625
Lucette Aldous,1,24582,126,598.771
Ludwig Minkus,1,24608,127,599.881
Lynn Seymour,1,24650,128,602.249
Manuel Legris,1,24684,129,604.335
Margot Fonteyn,1,24711,130,606.567
Marguerite and Armand,1,24850,131,611.961
Maria Tallchief,1,24876,132,613.377
Mariinsky Ballet,1,25182,133,623.369
Mariinsky Theatre,1,25222,134,628.507
Marius Petipa,1,25254,135,630.394
Martha Graham,1,25396,136,636.599
Maurice Béjart,1,25650,137,648.713
Metropolitan Opera,1,25673,138,650.126
Mick Jagger,1,26011,139,658.466
Mikhail Baryshnikov,1,26584,140,676.26
Mikhail Gorbachev,1,26672,141,682.891
Mintimer Shaimiev,1,28154,142,722.541
Miss Piggy,1,28178,143,723.872
Monica Mason,1,28339,144,729.617
Monique Loudières,1,28343,145,731.243
Nastassja Kinski,1,28345,146,732.036
Natalia Dudinskaya,1,28520,147,736.758
Night Journey (ballet),1,28520,148,737.564
Nikita Khrushchev,1,28530,149,738.195
Nina Anisimova (dancer),1,29127,150,760.591
Nina Vyroubova,1,29130,151,761.084
Ninel Kurgapkina,1,29135,152,761.874
Ninette de Valois,1,29135,153,762.322
OCLC (identifier),1,29203,154,766.023
ORTF,1,29204,155,766.331
Oleg Ivenko,1,29204,156,766.482
Oleg Vinogradov,1,29203,157,766.798
Ordre des Arts et des Lettres,1,29215,158,767.879
Orpheus (ballet),1,29218,159,770.477
Palais Garnier,1,29283,160,776.209
Paris Opera Ballet,1,29541,161,782.629
Patronymic,1,29626,162,788.867
Pericarditis,1,29853,163,798.042
Petrouchka,1,30107,164,802.921
Petrushka (ballet),1,30106,165,803.219
Piano Sonata (Liszt),1,30192,166,808.007
Pierre Bergé,1,30192,167,808.169
Ralph Fiennes,1,30239,168,809.741
Raymonda,1,30680,169,822.48
Red Army,1,30710,170,825.231
Ringo Starr,1,30995,171,833.591
Robert Helpmann,1,31776,172,850.666
Robert McG. Thomas Jr.,1,32049,173,857.253
Robert Tracy (dancer),1,32057,174,857.732
Roland Petit,1,32062,175,858.376
Romeo and Juliet (Nureyev),1,32077,176,859.519
Romeo and Juliet (Prokofiev),1,32239,177,862.793
Royal Academy of Dance,1,32280,178,870.265
Royal Danish Ballet,1,32405,179,875.495
Rudolph Valentino,1,32440,180,879.684
Russian gay propaganda law,1,32641,181,884.843
Russian language,1,32856,182,890.702

Exceeded max time
