Node,Level,Distance,Elapsed Time
Rudolf Nureyev,0,0,0.0
AIDS,1,1,4.291
HIV/AIDS,2,2,4.593
ABC News,3,3,16.625
20/20 (American TV program),4,4,28.872
20/20 (New Zealand TV programme),5,5,32.791
1 News,6,6,34.36
1 News At 6pm,7,7,37.772
1 News At Midday,7,7,37.929
1 News Tonight,7,7,38.078
1 Sport,7,7,38.23
TVNZ Sport,8,8,38.394
10 Bold,9,9,40.425
1080i,10,10,52.69
1080p,11,11,55.386
10K resolution,12,12,60.323
1440p,13,13,62.18
16K resolution,14,14,64.122
16K,15,15,66.391
16K paper,15,15,66.595
Paper size,16,16,66.781
110 film,17,17,81.105
110 film (roll format),18,18,90.079
List of photographic film formats,19,19,90.225
120 film,20,20,95.804
120 (film),21,21,98.333
Ahmet Uz,22,22,98.96
Battle of Sarikamish,22,22,99.104
1899–1923 cholera pandemic,23,23,107.829
1510 influenza pandemic,24,24,113.149
1493 Hispaniola influenza epidemic,25,25,118.395
Influx of disease in the Caribbean,26,26,118.548
Administrative divisions of the Caribbean,27,27,122.927
Africa,27,27,123.115
'Aziziya,28,28,149.805
ʽAziziya,29,29,149.962
Ajdabiya,30,30,151.128
2011 Libyan Civil War,31,31,153.09
Libyan civil war (2011),32,32,153.253
1838 Mormon War,33,33,173.073
1890 Manifesto,34,34,180.058
Adam and Eve in Mormonism,35,35,185.023
A Motley Vision,36,36,191.814
AML Awards,37,37,192.463
1975 in literature,38,38,202.038
1873 in literature,39,39,209.437
1785 in literature,40,40,213.585
1690 in literature,41,41,216.799
1605 in literature,42,42,218.644
1519 in literature,43,43,221.354
1460 in literature,44,44,222.659
15th century in literature,45,45,222.808
10th century in literature,46,46,231.637
'Ali ibn al-'Abbas al-Majusi,47,47,240.416
'Adud al-Daula,48,48,244.669
'Adud al-Dawla,49,49,244.805
Abbasid Caliph,50,50,248.015
List of Abbasid caliphs,51,51,248.17
Abbasid Caliphate,52,52,251.572
'Alawi dynasty,53,53,273.1
Alawi dynasty,54,54,273.256
1912 Fez riots,55,55,286.669
Abd al-Hafid of Morocco,56,56,287.421
20th Century Press Archives,57,57,290.47
Anke te Heesen,58,58,290.789
German National Library,59,59,291.245
Acer saccharum,60,60,293.917
1811 German Coast uprising,61,61,299.266
1689 Boston revolt,62,62,304.785
1788 doctors' riot,63,63,308.041
1834 Philadelphia race riot,64,64,310.63
1810 United States census,65,65,315.589
1790 United States census,66,66,318.02
1800 United States census,67,67,320.941
1820 United States census,68,68,323.69
1830 United States census,69,69,326.544
1840 United States census,70,70,329.182
1850 United States census,71,71,332.097
1860 United States census,72,72,335.007
1870 United States census,73,73,338.311
1880 United States census,74,74,342.161
1890 United States census,75,75,345.733
1850 United States Census,76,76,349.881
1900 United States census,76,76,350.013
1910 United States census,77,77,353.856
1920 United States census,78,78,357.734
1930 United States census,79,79,361.607
1940 United States census,80,80,365.218
1930 United States Census,81,81,368.931
1950 United States census,81,81,369.101
1960 United States census,82,82,372.895
1964 United States presidential election,83,83,376.731
1788–89 United States presidential election,84,84,390.733
1776 (film),85,85,401.564
111th Infantry Regiment (United States),86,86,412.779
110th Infantry Regiment (United States),87,87,416.124
109th Infantry Regiment (United States),88,88,417.131
103rd Armor Regiment,89,89,418.544
1st Infantry Division (United States),90,90,419.138
100th Infantry Division (United States),91,91,427.085
101st Airborne Division,92,92,431.114
10.5 cm leFH 18,93,93,441.403
10.5 cm FlaK 38,94,94,444.667
10.5 cm Gebirgshaubitze 40,95,95,446.985
10.5 cm Leichtgeschütz 40,96,96,449.584
10.5 cm Leichtgeschütz 42,97,97,452.043
10.5 cm SK C/32 naval gun,98,98,454.419
Anti-aircraft gun,99,99,455.036
Anti-aircraft warfare,100,100,455.487
.50 BMG,101,101,467.646
.20 BR,102,102,477.122
.204 Ruger,103,103,478.396
.14-222,104,104,480.672
.222 Remington,105,105,481.194
.17-223,106,106,484.291
.17 Remington,107,107,484.79
.17 Ackley Bee,108,108,488.254
.17 Bumble Bee,109,109,489.191
4 mm caliber,110,110,489.656
.177 caliber,111,111,490.599
.22 caliber,112,112,491.079
.218 Bee,113,113,492.091
.17 Winchester Super Magnum,114,114,494.817
.17 HMR,115,115,498.832
.17 HM2,116,116,500.348
.17 Hornet,117,117,501.304
.17 Mach 2,118,118,502.379
Initialism,119,119,502.555
Acronym,120,120,502.86
-onym,121,121,517.005
