Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Rudolf Nureyev,0,0,0,1,0.0
AIDS,1,0.7150919139385223,244,2,8.827
Kremlin,1,0.7445570230484009,244,3,10.293
Metochion,2,0.7255527973175049,535,4,17.152
Red Square,2,0.736886739730835,559,5,18.765
Gilding,3,0.739696204662323,914,6,26.427
Gypsum,4,0.605100691318512,1048,7,30.717
Lead,5,0.6333769261837006,1273,8,36.067
Coin,6,0.6201482713222504,2086,9,52.125
COinS,7,0.6009598672389984,2608,10,62.846
Coins,7,0.6009598672389984,2648,11,64.88
Monetary,7,0.6176784634590149,2647,12,65.959
1-octen-3-one,7,0.6230597198009491,2649,13,67.68
Tantalum,6,0.6255411803722382,2649,14,68.928
Beta plus decay,7,0.6028300225734711,3091,15,78.273
Money,7,0.630759209394455,3091,16,79.58
Calculation in kind,8,0.5611647665500641,3627,17,91.091
Money multiplier,8,0.5737273693084717,3917,18,97.475
Cash,8,0.6053540706634521,3980,19,99.752
Calculation problem,9,0.6177115738391876,4282,20,106.757
Proof coinage,7,0.6323317885398865,4281,21,108.055
Lead-210,6,0.6346296966075897,4367,22,110.852
Accrual,9,0.643079936504364,4367,23,112.433
Interest,10,0.6268402934074402,4465,24,115.445
Sumer,11,0.5610906481742859,4876,25,125.535
Arithmetic,12,0.4421432614326477,6509,26,156.427
Addition,13,0.0,6869,27,163.717

"['Rudolf Nureyev', 'Kremlin', 'Red Square', 'Gilding', 'Gypsum', 'Lead', 'Coin', 'Monetary', 'Money', 'Money multiplier', 'Cash', 'Accrual', 'Interest', 'Sumer', 'Arithmetic', 'Addition']"
