Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Rugby World Cup,0,0,0,1,0.0
Repechage,1,0.6778450012207031,760,2,16.193
Satyr,1,0.6802306175231934,969,3,21.022
Biathle,1,0.7039476931095123,2075,4,41.208
Skeleton World Cup,1,0.7104319930076599,2258,5,45.723
Australasia,1,0.7262822985649109,2534,6,52.397
France,1,0.7333753108978271,2941,7,61.102
Russian pyramid,1,0.7352938055992126,4794,8,98.271
Supermoto of Nations,1,0.7398034334182739,4911,9,101.771
World DanceSport Federation,1,0.7430858612060547,4934,10,103.556
United States,1,0.7461454272270203,5099,11,107.955
Australia,1,0.747267484664917,6863,12,140.008
Team sport,1,0.7501432746648788,8112,13,162.835
Gavin Hastings,1,0.7507767379283905,9074,14,180.658
Wales,1,0.7529094815254211,9382,15,187.366
World Puzzle Championship,1,0.754865825176239,11014,16,217.496
Triathle,1,0.7565956860780716,11474,17,227.189
Rotorua,1,0.7599579989910126,11580,18,230.484
World Scrabble Championship,1,0.7610701322555542,11919,19,237.659
World Scootering Championship,1,0.7645042389631271,12462,20,248.604
Thomas Lyte,1,0.7707450240850449,12883,21,257.067
Bandy World Championship,1,0.7728922367095947,12923,22,259.144
World Rally-Raid Championship,1,0.7730833441019058,13656,23,273.306
FEI World Equestrian Games,1,0.7750488221645355,14416,24,288.222
Paris,1,0.7751497477293015,15204,25,303.669
Jason Leonard,1,0.7755988389253616,16981,26,337.802
Apartheid,1,0.7775717675685883,17370,27,346.232
Home Nations,1,0.7816805243492126,19182,28,379.394
Continent,1,0.7826764732599258,19264,29,382.136
Crokinole,1,0.7829277366399765,19775,30,392.515
FIG World Cup,1,0.783776119351387,20196,31,401.373
SANZAAR,1,0.7843999266624451,20726,32,412.345
World championship,1,0.7845045626163483,20885,33,416.157
Group of death,1,0.7846093773841858,22528,34,446.559
Mind sport,1,0.7847290337085724,22770,35,452.112
World Croquet Federation,1,0.7848839610815048,22821,36,454.202
South Africa,1,0.7850509583950043,23021,37,459.396
Tank biathlon,1,0.7875460684299469,24571,38,488.75
Republic of Ireland,1,0.7875523567199707,25006,39,497.693
Pretoria,1,0.7891503274440765,26571,40,526.805
Japan,1,0.7904331684112549,27291,41,541.565
Single-elimination tournament,1,0.7907352447509766,28691,42,570.544
Sidecar World Championship,1,0.791309654712677,28814,43,574.899
World Squash Championships,1,0.7919945269823074,29463,44,591.018
IKF World Korfball Championship,1,0.7921372950077057,30173,45,608.346
Padel World Championship,1,0.7925850600004196,30618,46,624.095
New Zealand,1,0.7933868616819382,31117,47,634.238
Dressage World Cup,1,0.7949297726154327,32247,48,655.462
World cup,1,0.7965160310268402,32501,49,661.563
FIFAe World Cup,1,0.7976761311292648,32659,50,665.741
Extra time,1,0.7979474812746048,33363,51,680.417
FIFA World Cup,1,0.7982183694839478,33363,52,682.052
Nymph,1,0.7984475046396255,34967,53,712.721
Loftus Versfeld,1,0.8012697398662567,36723,54,744.365
Bandy World Cup,1,0.8018853962421417,36723,55,745.608
Ireland,1,0.8045245409011841,37297,56,757.173
World Armwrestling Championship,1,0.8048683702945709,38722,57,783.805
Hopman Cup,1,0.8068339824676514,39237,58,794.216
World Team Chess Championship,1,0.8075070977210999,39644,59,802.525
United Kingdom,1,0.8077455163002014,40553,60,819.604
Grant Fox,1,0.8077537417411804,42359,61,852.553
Nelson Mandela,1,0.8077659010887146,42458,62,855.784
Olympics,1,0.808279737830162,43725,63,879.846
Tokyo,1,0.8082996159791946,43725,64,881.256

Exceeded max time
