Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Rugby World Cup,0,0,0,1,0.0
Repechage,1,0.6778450012207031,760,2,15.576
Chokehold,2,0.6792150139808655,969,3,20.586
Choking,3,0.6622601747512817,1270,4,26.967
Snakebite,4,0.597887247800827,1509,5,32.982
Snake worship,5,0.5814557373523712,1978,6,42.859
Snake,5,0.6027834117412567,2472,7,52.896
Lizard,6,0.5521281063556671,3174,8,66.249
Snail,7,0.5372414588928223,3519,9,73.808
Gary Snail,8,0.5369653701782227,3777,10,79.566
Spiny lizard,7,0.5543321371078491,3777,11,80.908
Skeleton,6,0.5552473962306976,3961,12,85.433
Beaded lizard,6,0.5558689832687378,4143,13,89.861
Reptile,8,0.5562446117401123,4143,14,91.418
Dinosaur,6,0.569105327129364,4820,15,104.769
Cuckoo,7,0.5699895322322845,6070,16,128.231
Cuckoo wasp,8,0.5529688000679016,6565,17,137.95
Cuckoo bee,8,0.5664089918136597,6864,18,144.203
Snakebot,6,0.5713086128234863,6946,19,146.972
Robot,7,0.5664964914321899,6971,20,148.684
Puppet,8,0.09707725048065186,7803,21,164.418
Puppetry,9,0.0,8185,22,172.362

"['Rugby World Cup', 'Repechage', 'Chokehold', 'Choking', 'Snakebite', 'Snake worship', 'Snake', 'Snakebot', 'Robot', 'Puppet', 'Puppetry']"
