Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Sabaeans,0,0,0,1,0.0
Staff of Moses,1,0.7021225094795227,463,2,13.036
Gospel,1,0.7256385385990143,942,3,26.053
Fish,1,0.7308191955089569,1706,4,46.337
Donkey,1,0.7514411956071854,2820,5,74.753
Black Stone,1,0.7571091502904892,3131,6,83.991
Hoopoe,1,0.7732538729906082,3570,7,96.173
Archangel,1,0.7822790145874023,4004,8,108.15
Synagogue,1,0.7850960791110992,4313,9,117.078
Tablets of Stone,1,0.7918063700199127,5091,10,137.156
Honey bee,1,0.7931840717792511,5584,11,150.311
Maghrib prayer,1,0.7952822148799896,6063,12,163.722
Sabbath,1,0.7990818321704865,6598,13,178.961
Nile,1,0.8006494641304016,6880,14,187.543
Ahl al-Bayt,1,0.8016779273748398,7822,15,213.749
Laylat al-Mabit,1,0.8027340769767761,8457,16,231.775
Alhamdulillah,1,0.8035003542900085,8457,17,233.445
Goliath,1,0.803748682141304,8865,18,245.283
Kaaba,1,0.804631769657135,9058,19,251.857
Tubba',1,0.8056231439113617,9650,20,269.126
Al-Lat,1,0.8080601990222931,9650,21,270.874
Spice trade,1,0.8086887151002884,10181,22,285.742
Messiah,1,0.8126940131187439,11213,23,310.996
Asr prayer,1,0.8127260208129883,11542,24,320.255
Satan,1,0.8145363032817841,11708,25,326.048
Ramlat al-Sab'atayn,1,0.8150205314159393,12784,26,353.68
An-Naml,1,0.8156787753105164,12945,27,359.195
Allah,1,0.8174771070480347,13181,28,366.554
Minaeans,1,0.8194258064031601,13818,29,383.092
Midian,1,0.819865420460701,13859,30,385.894
Saul,1,0.8202187716960907,14423,31,401.211
Honey,1,0.8204063773155212,15922,32,438.815
Lentil,1,0.8221763372421265,16778,33,461.335
Al-Uzza,1,0.8238276243209839,17135,34,471.653
Classical antiquity,1,0.8238563388586044,17549,35,483.371
Gospel in Islam,1,0.8245500326156616,18974,36,520.052
Monk,1,0.8256426453590393,19449,37,534.2
Mosque,1,0.8270010352134705,19802,38,544.644
Marib Dam,1,0.8296731114387512,21016,39,578.964
Ancient South Arabian art,1,0.8314438164234161,21475,40,592.895
Ar Rass,1,0.8319909274578094,21989,41,606.965
ISBN (identifier),1,0.8322022557258606,22014,42,609.668
Scrolls of Moses,1,0.8330822438001633,22014,43,611.578
Al-Fil,1,0.833384245634079,22423,44,624.0
Spider,1,0.8339061439037323,22994,45,640.866
Sayl al-'Arim,1,0.8354865312576294,23579,46,656.84
Miriam,1,0.8363098204135895,23578,47,658.764
Moses,1,0.8365038931369781,24026,48,672.042
Khidr,1,0.8367595970630646,25135,49,701.041
Golden calf,1,0.8373607993125916,25677,50,717.351
Devil,1,0.8379423171281815,26154,51,731.895
Jann (legendary creature),1,0.8383312821388245,26425,52,740.02
Slayers of Ṣāliḥ's she-camel,1,0.8384219110012054,26425,53,741.75
Fajr prayer,1,0.8387421667575836,26424,54,741.919
Marib,1,0.8394714444875717,26952,55,757.525
Dhikr,1,0.8395911753177643,27178,56,764.819
Sabians,1,0.8396969437599182,27813,57,784.047
Enoch,1,0.8398309499025345,28269,58,797.822
Christians,1,0.8405349254608154,28515,59,805.658
Asiatic lion,1,0.8411070108413696,29002,60,820.797
Solomon,1,0.8422377407550812,29374,61,831.718
Battle of Uhud,1,0.8423477113246918,30824,62,870.288
Kafir,1,0.8425888121128082,31244,63,883.579

Exceeded max time
