Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Chemical Engineering,0,0,0,0,0.0
Chemical engineering,1,0.9060941487550735,0,1,2.947
George E. Davis,2,1.6430605202913284,397,2,20.143
John Wiley & Sons,2,1.6596030741930008,416,3,22.867
Audio engineer,2,1.661127820611,416,4,24.768
Cosmochemistry,2,1.6675529181957245,1009,5,49.457
Rice University,2,1.6825049221515656,1465,6,68.529
Engineer,2,1.6875247657299042,2252,7,102.312
Ceramic,2,1.6909009367227554,2645,8,119.718
Atom,2,1.6922245770692825,2924,9,133.916
Metallurgy,2,1.699286937713623,3608,10,162.88
Doctor of Engineering,2,1.707480251789093,4376,11,194.421
Chemical engineer,2,1.7125326544046402,4484,12,200.113
Chemical technologist,2,1.7138352543115616,4549,13,204.845
Chemical plant,2,1.7143183499574661,4572,14,207.291
Chemical element,2,1.715189903974533,4741,15,215.718
Crystallization,2,1.7187671214342117,5870,16,262.126
Physics,2,1.7200811803340912,6149,17,275.798
Nanotechnology,2,1.7223724871873856,6784,18,302.758
Astrochemistry,2,1.7229542583227158,7290,19,325.187
Instrumental chemistry,2,1.7242445051670074,7851,20,348.724
Ion,2,1.7289571911096573,8056,21,358.841
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,2,1.7301638275384903,8443,22,375.824
Distillation,2,1.7301949113607407,8468,23,378.298
Polymer,2,1.7334775030612946,8786,24,391.901
Piping,2,1.736254408955574,9298,25,414.163
Chemical substance,2,1.7368388026952744,9398,26,420.303
Chemistry,2,1.7374430894851685,9706,27,434.35
Pilot plant,2,1.7419941872358322,10274,28,457.294
Evaporation,2,1.7420926541090012,10285,29,459.383
Human Genome Project,2,1.7425755113363266,10368,30,464.717
Chemical Institute of Canada,2,1.7451718002557755,10931,31,490.263
Stereochemistry,2,1.7464336901903152,10994,32,494.665
Materials science,2,1.7503969818353653,11288,33,508.394
Mathematics,2,1.7534844726324081,11944,34,536.998
Chemical compound,2,1.7542417496442795,12698,35,568.098
Genomics,2,1.7550736665725708,12941,36,579.129
Nanomaterials,2,1.7563418298959732,13358,37,596.396
Project engineer,2,1.7579105645418167,14035,38,623.265
Green chemistry,2,1.75797238945961,14035,39,625.84
Molecular,2,1.7600242346525192,14341,40,639.616
Economics,2,1.7607234716415405,14343,41,641.075
Drying,2,1.7659355849027634,15176,42,673.862
Alkane stereochemistry,2,1.766083151102066,15276,43,679.36
Graduate programs,2,1.7665365189313889,15276,44,681.166
Master of Engineering,2,1.7685414105653763,15276,45,682.516
Nanochemistry,2,1.7687475979328156,15361,46,687.162
Ceramic engineering,2,1.7691263556480408,15596,47,697.714
Computer science,2,1.769356295466423,16040,48,719.354
Chemical industry,2,1.7702501267194748,16578,49,740.937
Cheminformatics,2,1.771856427192688,17474,50,775.951
Crystallization processes,2,1.773262694478035,17607,51,783.263
Molecular biology,2,1.7739188522100449,17606,52,784.729
Plastics engineering,2,1.774211511015892,18185,53,818.937
Geological engineering,2,1.7750808596611023,18217,54,826.954
Hydraulic engineering,2,1.7761169224977493,18370,55,834.828
Raman spectroscopy,2,1.7762972265481949,18628,56,848.709
Bioinformatics,2,1.777298241853714,19054,57,880.899
Timeline of chemistry,2,1.7779248505830765,19911,58,918.211
Petrochemistry,2,1.7801460474729538,20494,59,943.575
Mineral processing,2,1.7801864594221115,20494,60,945.694
