Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Chemical Engineering,0,0,0,0,0.0
Chemical engineering,1,0.9060941487550740,0,1,2.206
George E. Davis,2,0.7369663715362550,397,2,10.803
George Davis (disambiguation),3,0.7408203482627870,416,3,12.561
George Davis,4,0.6971620917320250,416,4,14.03
George Davies (disambiguation),5,0.6534425914287570,450,5,16.041
George Davies,6,0.6297610700130460,450,6,17.071
George Davies (cricketer),7,0.6124143898487090,464,7,18.451
George Davies (rugby union),7,0.6170926988124850,470,8,19.713
Rhys Gabe,8,0.6305420398712160,485,9,20.992
George Davies (athlete),7,0.6401666402816770,540,10,23.088
John George Davies,7,0.640465646982193,546,11,24.358
Charles Davies (Tasmanian politician),8,0.6309276819229130,603,12,26.573
David Bedell-Sivright,9,0.6419535875320440,611,13,28.134
Gavin Hastings,10,0.5644440948963170,818,14,33.145
Matt Duncan,11,0.5434813797473910,1125,15,39.846
Damian Cronin,11,0.5609963834285740,1159,16,42.259
Malcolm Dacey,11,0.5724227428436280,1259,17,45.737
Richie Collins,12,0.5476782321929930,1320,18,49.104
Richie Collins (surfer),13,0.5105058252811430,1389,19,51.933
"Keith Robertson (rugby union, born 1954)",12,0.5734765529632570,1397,20,53.725
John Manson,11,0.5745705366134640,1429,21,55.834
Phil Davies (rugby union),13,0.5754361152648930,1474,22,58.187
Philip Davies (disambiguation),14,0.5684571266174320,1701,23,63.419
Philip Davies,15,0.5485638678073880,1712,24,65.005
Philip Davies (cricketer),15,0.5617132186889650,1893,25,69.933
Matt Hancock,16,0.573734700679779,1901,26,71.301
Damian Green,17,0.5096128284931180,2330,27,80.624
Damian Collins,18,0.5265766382217410,2651,28,88.039
Damian Hinds,17,0.5443988144397740,2857,29,92.931
Reginald McKenna,18,0.47534340620040900,3062,30,97.898
Gavin Williamson,18,0.5465622842311860,3445,31,106.581
Nick Brown,17,0.5610851645469670,3925,32,116.742
Ian McCartney,18,0.5552772879600530,4143,33,122.374
Simon Hart,17,0.5663023591041570,4216,34,125.209
Chris Philp,19,0.5666675865650180,4422,35,130.731
Gavin Barwell,20,0.5499988794326780,4700,36,137.218
Nicky Morgan,17,0.5718480348587040,4836,37,141.273
Nicky Morgan (footballer),18,0.5614477396011350,5172,38,148.66
Leon Brittan,19,0.5720695853233340,5208,39,150.884
Leon Britton,20,0.5606730580329900,5651,40,161.818
Gavin Strang,18,0.573896586894989,5803,41,166.173
Peter Morrison,19,0.5740315318107610,5910,42,169.875
Nick Ainger,18,0.5740853548049930,5992,43,172.928
Nick Brown (disambiguation),18,0.5743326246738430,6029,44,174.927
Nick Brown (academic),19,0.5675755143165590,6034,45,176.32
Philip R. Davies,15,0.5763634145259860,6104,46,178.948
Simon Easterby,14,0.5775704383850100,6124,47,180.843
Simon Best,15,0.5375959873199460,6345,48,186.039
Simon Taylor (rugby union),15,0.5380823910236360,6477,49,189.764
Simon Danielli,16,0.526877224445343,6640,50,194.449
Matt Perry (rugby union),16,0.5423025786876680,6725,51,197.408
Nigel Davies (rugby player),15,0.55350261926651,6813,52,200.503
Dorian West,16,0.5556324124336240,6813,53,201.911
David Perry (rugby union),17,0.5581397414207460,7012,54,206.64
David Perry (disambiguation),18,0.5511046051979070,7158,55,210.572
