Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Red algae,0,0,0,0,0.0
Andreaeobryum,1,0.6533469557762150,566,1,17.077
Richard Wettstein,1,0.6767258644104000,607,2,19.774
Marchantiopsida,1,0.6896808743476870,643,3,22.884
Protist,1,0.6913148164749150,890,4,30.028
Variosea,1,0.6938820779323580,1673,5,46.385
Euryarchaeota,1,0.7152576446533200,1673,6,47.984
Agarose,1,0.7165848314762120,1922,7,54.323
Alveolata,1,0.719333291053772,1997,8,57.245
Jungermanniopsida,1,0.7202261686325070,1997,9,59.506
Selaginella,1,0.721383810043335,2145,10,63.81
ISBN (identifier),1,0.7236990928649900,2524,11,73.421
Marchantiophyta,1,0.7295776903629300,2524,12,75.154
Incertae sedis,1,0.7306947410106660,2990,13,86.881
J.Ag.,1,0.7353515028953550,3394,14,97.219
Actinophryida,1,0.7367801070213320,3394,15,99.087
Audouinella,1,0.7388898432254790,3396,16,101.0
Corystospermaceae,1,0.7390382885932920,3431,17,103.406
Laurencia,1,0.7403934299945830,3500,18,107.272
Barinophyte,1,0.7409189939498900,3835,19,115.426
Filasterea,1,0.7447504699230190,3874,20,118.064
Paleozoic,1,0.7450143396854400,4084,21,124.121
Chrysiogenota,1,0.7474382817745210,4285,22,129.796
Cyanidium,1,0.7480226457118990,4285,23,131.355
Jakobida,1,0.7489279508590700,4284,24,131.526
Cooksoniopsida,1,0.752040445804596,4284,25,132.877
Barthelona,1,0.7539467364549640,4283,26,133.104
Grypania,1,0.754976749420166,4282,27,133.252
Euchema,1,0.7551369965076450,4409,28,138.052
Jakobea,1,0.7563749253749850,4408,29,138.214
Proterozoic,1,0.7565817981958390,4408,30,139.596
INaturalist,1,0.7572545260190960,4606,31,145.489
Isoetes,1,0.7584220767021180,4700,32,149.649
Holomycota,1,0.7594960033893590,4996,33,157.05
Rufusiales,1,0.7615987062454220,5210,34,163.156
Amorphea,1,0.7616017609834670,5209,35,163.393
Bennettitales,1,0.7620655298233030,5374,36,169.025
Isopoda,1,0.7621968686580660,5526,37,173.743
Stramenopiles,1,0.7623815536499020,5760,38,180.61
Pteridophyta,1,0.7632953524589540,5760,39,182.668
Petriellales,1,0.7652819901704790,5762,40,184.162
Bonnemaisoniales,1,0.7665065973997120,5761,41,184.364
Takakia,1,0.7665978372097020,5786,42,186.718
Ciliate,1,0.7681122720241550,5858,43,189.958
Limestone,1,0.7688435316085820,6650,44,209.256
Carpogonium,1,0.7691293507814410,7111,45,220.83
Archaeplastida,1,0.7704092711210250,7116,46,222.88
Bacillota,1,0.7709011435508730,7565,47,235.374
Thomas Cavalier-Smith,1,0.7713204324245450,7980,48,245.448
Flagella,1,0.7715239822864530,8135,49,250.127
Noeggerathiopsida,1,0.7717889249324800,8135,50,251.871
Armatimonadota,1,0.772010400891304,8134,51,252.211
Apusomonadida,1,0.7724449336528780,8333,52,257.9
Bangiophyceae,1,0.7730254530906680,8334,53,260.232
Andreaeaceae,1,0.7736520171165470,8459,54,265.53
Pluriformea,1,0.7756546586751940,8497,55,269.336
Fern,1,0.7760990560054780,8614,56,273.92
Archamoebea,1,0.7761877477169040,9298,57,291.187
Euphyllophyte,1,0.7762442827224730,9298,58,292.682
Korarchaeota,1,0.7762555480003360,9434,59,298.041
Cyanidioschyzon merolae,1,0.776362806558609,9623,60,304.557
Fossilworks,1,0.77895388007164,9623,61,306.009
Discoba,1,0.7797521948814390,9627,62,307.814
Conceptacle,1,0.7798108160495760,9627,63,309.769
Palmariales,1,0.7802317589521410,9663,64,311.851
Archaeopteridopsida,1,0.7803937792778020,9696,65,314.097
Microheliella,1,0.7813601493835450,9695,66,314.222
Czekanowskiales,1,0.7820144593715670,9806,67,318.697
Thallus,1,0.7822675406932830,9842,68,320.808
Pihiellales,1,0.7825066149234770,9877,69,322.944
Eudicots,1,0.7835549414157870,9876,70,323.112
Schmitzia hiscockiana,1,0.7840584814548490,10040,71,328.348
Lemanea,1,0.7851761728525160,10071,72,330.781
Calcite,1,0.7855151295661930,10112,73,333.091
Lycopodiopsida,1,0.7862764894962310,10330,74,339.773
Obazoa,1,0.7864013016223910,10523,75,346.352
Bangia,1,0.78767991065979,10647,76,351.908
Anaeromonada,1,0.7880669832229610,10820,77,357.716
Moss,1,0.788199782371521,10820,78,359.13
Callistophytales,1,0.7893048375844960,11453,79,374.486
Calcium carbonate,1,0.7900013327598570,11487,80,376.905
Tubulinea,1,0.7903342247009280,11930,81,387.35
Caytoniales,1,0.7910220623016360,12263,82,396.299
Laverbread,1,0.7915000468492510,12310,83,399.074
Intertidal,1,0.7918516546487810,12399,84,402.652
Cycliophora,1,0.7920561879873280,12401,85,404.625
Seaweed,1,0.7921840846538540,12401,86,407.411
Aneurophytopsida,1,0.7926157116889950,12603,87,414.061
Gelidium,1,0.7935721278190610,12602,88,414.206
Nemertea,1,0.7949631959199910,12751,89,418.956
Developea,1,0.7957267463207250,13218,90,430.207
Phanerozoic,1,0.7979210615158080,13218,91,431.982
Leiosporoceros,1,0.7989123463630680,13824,92,444.965
Priapulida,1,0.7998784780502320,13859,93,447.38
Nitrososphaerota,1,0.8015154898166660,14162,94,455.272
Lycopodiophyta,1,0.8017358481884000,14311,95,459.701
Spermatium,1,0.8021326214075090,14313,96,461.001
Susan Brawley,1,0.8023587316274640,14313,97,462.734
Eurhodophytina,1,0.8035151660442350,14341,98,465.204
Encyclopedia of Life,1,0.80356165766716,14340,99,466.998
Anaeramoebae,1,0.8036157190799710,14482,100,471.185
Gunflint chert,1,0.8039110600948330,14481,101,471.313
Calamopityales,1,0.8049238622188570,14671,102,477.362
TSAR,1,0.8051032423973080,14671,103,479.144
Mitosis,1,0.8051445484161380,14671,104,480.88
Porphyran,1,0.805205300450325,14952,105,488.294
Centriole,1,0.8052981495857240,14966,106,490.318
Phoronid,1,0.8055166751146320,15128,107,495.612
Bdellovibrionota,1,0.8057561665773390,15503,108,505.32
Zosterophyll,1,0.8057660758495330,15668,109,510.291
Heterotrophic,1,0.8062188029289250,15834,110,515.486
Lentisphaerota,1,0.8062418103218080,15836,111,517.291
Palmaria palmata,1,0.8064962476491930,15880,112,519.804
Nemalion,1,0.806703120470047,16035,113,525.039
John Stackhouse (botanist),1,0.8067440092563630,16066,114,527.535
Kiritimatiellota,1,0.8067507296800610,16105,115,529.898
European cuisine,1,0.8068153262138370,16265,116,535.227
Filozoa,1,0.8070734143257140,17069,117,555.866
Equisetum,1,0.8072378039360050,17212,118,561.345
