Node,Level,Total Cost,Priority Queue Size,Distance,Elapsed Time
Conseil supérieur de l'audiovisuel (Belgium),0,0,0,0,0.0
Television,1,0.8037189245224000,9,1,2.578
Edholm's law,2,0.6244242787361150,1712,2,40.581
Moore's law,3,0.5998910069465640,1796,3,43.586
Eroom's law,4,0.5056495666503910,2166,4,52.882
Power law,4,0.516362875699997,2186,5,54.829
Lotka's law,5,0.4505854845047000,2364,6,59.923
Murphy's law,4,0.539528489112854,2373,7,61.679
Milo Murphy's Law,5,0.5244484841823580,2517,8,65.769
Segal's law,5,0.5279226899147030,2827,9,74.729
Sod's law,5,0.543566107749939,2836,10,76.167
Grosch's law,4,0.563132256269455,2855,11,78.21
Allometric law,5,0.5658919811248780,2876,12,80.175
Wright's Law,4,0.5659247636795040,2876,13,81.665
Swanson's law,4,0.5706228017807010,2876,14,83.312
Gustafson's law,4,0.5788158178329470,2893,15,89.571
Murphy's law (disambiguation),5,0.5852366089820860,3025,16,94.451
Murphy's Law (disambiguation),6,0.5852366089820860,3025,17,96.497
Hutber's law,5,0.5884761214256290,3039,18,98.087
Law (principle),6,0.5025429725646970,3076,19,100.33
Law,7,0.44876229763031000,3120,20,102.971
Parsi law,8,0.4173492193222050,4619,21,135.254
Question of law,8,0.4621769189834600,4875,22,142.168
Law of Italy,8,0.4695667028427120,4998,23,146.139
Ordinary law,9,0.47396212816238400,5381,24,174.049
Rule of law,8,0.47901034355163600,5402,25,175.877
Rule of Law,9,0.47901034355163600,6197,26,193.304
IT law,8,0.4844200611114500,6196,27,194.581
Law of Ethiopia,8,0.4993954300880430,6610,28,204.835
Law of Cambodia,8,0.5027317404747010,6640,29,206.91
Law of Djibouti,8,0.5060626864433290,6943,30,214.523
Law of India,9,0.5080853700637820,6942,31,214.686
Law of the United States,8,0.5088696777820590,7545,32,228.706
Legal precedent,9,0.5024307370185850,8538,33,250.933
Law (disambiguation),8,0.5089467465877530,8538,34,252.239
The Law (disambiguation),9,0.49103832244873000,8577,35,254.548
The Law,10,0.45626574754715000,8577,36,256.017
Procedural law,9,0.5115048885345460,8601,37,257.889
Law of the World,9,0.512347549200058,8809,38,263.938
Customary law,10,0.5211253762245180,8808,39,264.092
Personal law,10,0.5217205584049230,9387,40,277.701
Law of Germany,8,0.523107260465622,9387,41,279.054
Salic Law,9,0.5232897400856020,9834,42,290.283
Salic law,10,0.5232897698879240,9834,43,291.777
Law of Indonesia,8,0.5239576101303100,9974,44,296.548
